id,type,text1,text2,text3,text4,notes
ofu_kinetic_conv,SHIP_SYSTEM,Increases projectile speed and damage for energy and ballistic weapons at the cost of the ships top speed,Offensive,Increases projectile speed and damage for energy and ballistic weapons at the cost of the ships top speed,,
ofu_flarelauncher_super,SHIP_SYSTEM,Launches a powerful flare to distract missiles and fighters,Defensive,Launches a powerful flare to distract missiles and fighters,,
ofu_asbolus,SHIP,"The Asbolus class, integrating incomplete Pre-Collapse research on sensor miniaturization and advanced instrumentation, employs cutting-edge systems to accurately track targets at extraordinary ranges. This capability makes it ideal for system patrols, escort missions, and long-range support operations.

Developed during the AI War Interbellum, the Asbolus class exemplifies the technological resurgence of the Union worlds following the chaos of the preceding century.",,,,
ofu_frigate_1,SHIP,"Though somewhat lacking in firepower and defenses, the Argeus-class frigate is among the swiftest craft in the sector, able to scout and occupy tactical locations to great effect.

As a pre-collapse redesign of an obscure class of frigate, the Argeus class would likely never have seen deployment were it not for the dire post-collapse need for anything spaceworthy.",,,,
ofu_agamemnon,SHIP,"A defensive heavy cruiser, the Agamemnon class is capable of enduring considerable amounts of punishment thanks to a balance of strong shields and armor. It's inbuilt Gletscher artillery battery is excellent at providing long range suppressive fire while it's other weapon slots are generally filled with long to medium range options. 

Designed in the wake of the Champion affair, the Agamemnon was a centerpiece of a Pre-Collapse strategy shift by Orion Shipyards, which consisted of several entirely new ship classes. The blueprints arrived only shortly before the collaps, after Orion Shipyards selected it's Persean sector holdings to test the production of prototypes outside of it's most advanced facilities. These samples form the basis of the current day Union fleet program.",,,,
ofu_fr_missile,SHIP,"The Sithon class is capable of rapidly deploying its considerable missile payload in fearsome salvoes, enabling it to assume various strike roles. However, once it has expended it's missile payload it rarely presents a credible threat.

A recent Pre-Collapse design, the Sithon was the result of a hostile takeover of the relatively small Bergen Arms LLC by Orion shipyards. At the time, the project was derided by some as an oversized bomber with little use beyond short engagements.",,,,
ofu_bellerophon,SHIP,"The Bellerophon-class battlecarrier is a modular design capable of excelling in a wide range of scenarios. It pairs this versatility with respectable onboard firepower—enough to reinforce its wings or operate independently when needed.

This flexibility makes the Bellerophon something of a wildcard, a favorite among independent captains who value adaptability and unconventional tactics.",,,,
ofu_diomedes,SHIP,"The Diomedes class employs a rigorously tested and highly effective electronic warfare suite, specializing in fleet support and enemy disruption operations. Its advanced ECM capabilities provide a decisive edge in combat scenarios.

Favored by Union intelligence operatives, affluent mercenaries, and independent brokers, the Diomedes is highly regarded for its reliability and effectiveness.",,,,
ofu_telemachus,SHIP,"The Telemachus class is a mobile light cruiser built around a versatile missile armament and supporting ballistic weaponry paired with decent speed.

A Post-Collapse design built in the same spirit as the Sithon-class frigate, the Telemachus Class was designed with the unusual feature of turreted missile mounts. While a mechanical design challenge, it considerably improves the ease-of-use for torpedos, especially at close range.",,,,
ofu_rhadamanthys,SHIP,"The Rhadamanthys-class carrier fields a smaller complement of fighters than most vessels of its class, but compensates with a highly specialized flight deck and support systems that push its wings beyond standard performance.

The miniaturized design incorporates experimental features barely off the drawing board before the Collapse—only recently recovered and refined from datamined archives. Though often dismissed by proponents favoring massed carrier strikes, a Rhadamanthys’ fighters remain a nightmarish encounter for pilots.",,,,
